BUSINESS_NAME,BUSINESS_TYPE,Latitude,Longitude
Atrium Cafe,Restaurant/Cafe/Canteen,51.4410073061885,-2.563965265250198
Auntie Sue's,Restaurant/Cafe/Canteen,51.49999473393053,-2.6987541670828326
Authentic Hot Pot & Hand-Pulled Noodles,Restaurant/Cafe/Canteen,51.451604268010925,-2.588865937898814
Avana Lounge,Restaurant/Cafe/Canteen,51.480163770021775,-2.587573117115447
Avon Fire & Rescue,Restaurant/Cafe/Canteen,51.50384415842707,-2.695642480933224
Avon Fire & Rescue,Restaurant/Cafe/Canteen,51.42684280258871,-2.602251455025829
AVON GRILL & FISH BAR,Takeaway/sandwich shop,51.4986994404515,-2.6942397519832775
Avonmeads Starbucks,Restaurant/Cafe/Canteen,51.44726613263828,-2.5583288678868943
Avonmouth Bowling Club,Pub/bar/nightclub,51.495616692255126,-2.6815575249826664
Avonmouth Football Club,Restaurant/Cafe/Canteen,51.4961438591712,-2.6852249124312007
Avonmouth Masonic Hall,Pub/bar/nightclub,51.497499303976255,-2.6950719488398853
Avonmouth Old Boys RFC,Pub/bar/nightclub,51.495617692734584,-2.681558523888745
Avonmouth Tavern,Pub/bar/nightclub,51.497499303976255,-2.6950719488398853
Avonmouth Village Social Club,Pub/bar/nightclub,51.50090791274218,-2.7009003406251915
Avonvale Bowls Club,Pub/bar/nightclub,51.456381469618314,-2.553615251221011
Aya Sushi,Restaurant/Cafe/Canteen,51.45524257547204,-2.6039219596208056
Baba Ganoush Kitchen,Restaurant/Cafe/Canteen,51.462566526851454,-2.577979417314587
Baba Kebab and Pizza,Takeaway/sandwich shop,51.47950781682793,-2.528821554999107
Babcock Severn Park Fire and Rescue Centre,Restaurant/Cafe/Canteen,51.52202820678398,-2.6848199314714747
Back Garden Pizzeria Ltd,Restaurant/Cafe/Canteen,51.453191619626196,-2.5933051139932366
Back Street Pizza,Takeaway/sandwich shop,51.477204664773595,-2.5349723818432115
Bad Squirrel Cafe,Restaurant/Cafe/Canteen,51.4604918988643,-2.6009963544823007
Bad Squirrel Cafe,Restaurant/Cafe/Canteen,51.46204190338573,-2.5966549627586524
Bag of Nails,Pub/bar/nightclub,51.45049425905665,-2.605888299132613
Bagaras,Restaurant/Cafe/Canteen,51.438024624019725,-2.5503421726605904
Bagelicious,Restaurant/Cafe/Canteen,51.45567296752533,-2.581011661139489
Bahn Wagon,Restaurant/Cafe/Canteen,51.46957441443179,-2.575605810648178
Bakealicious,Restaurant/Cafe/Canteen,51.45279754658129,-2.5813234026047884
Bake-A-Licious,Restaurant/Cafe/Canteen,51.45383203141722,-2.617336349164647
Bakesmiths,Restaurant/Cafe/Canteen,51.46179115834001,-2.60701667131932
Bambalan,Restaurant/Cafe/Canteen,51.45422898237869,-2.5962116804050765
Bana Dessert,Restaurant/Cafe/Canteen,51.47932353786185,-2.587601771970969
Banh Wagon,Takeaway/sandwich shop,51.45680975664595,-2.5952176757748093
Bank,Restaurant/Cafe/Canteen,51.44088534973403,-2.5762912427185394
Bannatyne's Health Club & Spa,Restaurant/Cafe/Canteen,51.46778427508144,-2.593994370608242
Bar 44,Restaurant/Cafe/Canteen,51.453800813595194,-2.6167839149452634
Bar and Block,Restaurant/Cafe/Canteen,51.45135856334425,-2.59180882733503
Bar Chocolat,Restaurant/Cafe/Canteen,51.45548201467208,-2.6200450177125227
Baraka Community Cafe,Restaurant/Cafe/Canteen,51.4600660879861,-2.572646796556658
Barbara's Bier Haus Bristol,Pub/bar/nightclub,51.45021499069729,-2.5971484341918685
Bare Grills,Restaurant/Cafe/Canteen,51.45598569891557,-2.6063930664922146
Baristas Coffee Collective,Restaurant/Cafe/Canteen,51.452218904601665,-2.5884234917334297
Barroux,Restaurant/Cafe/Canteen,51.46719553390971,-2.6053311793158778
Barton Hill Rugby Club,Pub/bar/nightclub,51.45189756667552,-2.5030606297332727
Barwaaqo Cafe,Restaurant/Cafe/Canteen,51.45752583718792,-2.562297408722052
Barwaaqo Coffee and Dessert,Restaurant/Cafe/Canteen,51.459719085917214,-2.5738088986175534
Barwaaqo Restaurant,Takeaway/sandwich shop,51.4604095060964,-2.57220826116812
Basil,Restaurant/Cafe/Canteen,51.45539980725447,-2.604661897203435
Basil & Co,Restaurant/Cafe/Canteen,51.45162552661489,-2.5887185906599304
BASMA Cafe,Restaurant/Cafe/Canteen,51.46770227390351,-2.5904265362233385
Batida,Restaurant/Cafe/Canteen,51.46279624782976,-2.607447627414121
Baxter Storey - Das UK Group,Restaurant/Cafe/Canteen,51.45218307754949,-2.5806968303186704
Baxterstorey - Computershare Bristol,Restaurant/Cafe/Canteen,51.420460765042144,-2.6294517712053875
BaxterStorey - EQ Building,Restaurant/Cafe/Canteen,51.449941342611034,-2.5857501862936805
BaxterStorey - Osborne Clarke LLP,Restaurant/Cafe/Canteen,51.45272969507135,-2.586661396725243
Baxterstorey - Portwall Place,Restaurant/Cafe/Canteen,51.44905279577546,-2.5865879767161966
Baxterstorey - Simmons & Simmons,Restaurant/Cafe/Canteen,51.452880629676606,-2.58756833392115
BBB,Pub/bar/nightclub,51.45616790325865,-2.577391265773113
BBC Studios,Restaurant/Cafe/Canteen,51.4523068709583,-2.5870283355457806
