OBJECTID,LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,IMDRank,IMDDecile,IMDpRank,IMDBrisRank,IMDBrisDecile,Income,IncomeRank,IncomeDecile,Employment,EmploymentRank,EmploymentDecile,EducationSkillsTrainingScore,EducationSkillsTrainingRank,EducationSkillsTrainingdecile,HealthDisabilityScore,HealthDisabilityRank,HealthDisabilityDecile,CrimeScore,CrimeRank,CrimeDecile,BarriersHousingServicesScore,BarriersHousingServicesRank,BarriersHousingServicesDecile,LivingEnvironmentScore,LivingEnvironmentRank,LivingEnvironmentDecile,IDACI,IDACIRank,IDACIDecile,IDAOPI,IDAOPIRank,IDAOPIDecile,SUBCYPScore,SUBCYPRank,SUBCYPDecile,SUBSkillsScore,SUBSkillsRank,SUBSkillsDecile,SUBGeogBarriersScore,SUBGeogBarriersRank,SUBGeogBarriersDecile,SUBWiderBarriersScore,SUBWiderBarriersRank,SUBWiderBarriersDecile,SUBIndoorsScore,SUBIndoorsRank,SUBIndoorsDecile,SUBOutdoorsScore,SUBOutdoorsRank,SUBOutdoorsDecile,POP2022Total,POP2022Children,POP2022Older,POP2022WAP,ShapeSTArea,ShapeSTLength
14,E01014500,Bristol 039A,Parson Street,14.24,20141,6,59.67,161,6,13.9,21299,7,7.7,23871,8,13.8,19141,6,0.1,15562,5,0.3,11697,4,12.3,27705,9,36,6491,2,25.4,19404,6,14.5,17221,6,0.1,14897,5,0.2,22486,7,20.7,28157,9,0.5,13650,5,0.6,6259,2,0.5,7910,3,1872,238,345,1379,252891.26668115,4053.45751762877
15,E01014501,Bristol 041A,Ashton Vale,28.55,9010,3,26.69,78,3,28.8,10201,4,18.5,7873,3,56.6,2099,1,0.7,7261,3,0,16175,5,13.5,26145,8,6.4,27781,9,39.2,12326,4,24.4,10710,4,2,388,1,0.3,9861,3,32.1,17566,6,-0.8,19641,6,-0.3,23104,7,-1.1,31730,10,2148,408,531,1323,883397.28465299,5402.6005113262
16,E01014502,Bristol 039B,Bedminster Road,24.52,11419,4,33.83,90,4,27.5,10831,4,14.6,11841,4,35.8,6799,3,0.6,9046,3,0.6,8334,3,11.5,28573,9,17.4,17191,6,52.2,7230,3,27.2,9294,3,1.2,3095,1,0.2,14325,5,22.4,26847,8,0.1,15302,5,-0.1,18030,6,0.3,11070,4,2033,327,381,1437,296034.846856525,3849.06487330194
17,E01014504,Bristol 041B,Luckwell Road,8.18,27237,9,80.69,216,9,6.6,30512,10,4.6,31277,10,3.6,29860,9,-0.4,22116,7,-0.7,26410,8,8.4,31481,10,46.7,2952,1,9.8,30508,10,8.7,23823,8,-0.6,25214,8,0.1,32844,10,20,28635,9,-0.7,18853,6,1,2082,1,-0.1,16807,5,1578,268,243,1126,131668.241363075,3299.61369420206
18,E01014505,Bristol 041C,Chessel Street,9.77,25237,8,74.77,201,8,8.7,27811,9,4.3,31862,10,7.8,25002,8,-0.2,20006,6,-0.4,22412,7,9,31023,10,46.6,2974,1,9.1,30989,10,23,11479,4,-0.1,17318,6,0.1,32932,10,18.8,29345,9,-0.4,17499,6,1.1,1620,1,-0.7,27612,9,1797,258,205,1404,124415.263271575,2431.35680946657
19,E01014506,Bristol 041D,Winterstoke Road,9.12,26058,8,77.2,204,8,10.1,25908,8,7.6,23982,8,13.3,19559,6,-0.4,22288,7,0,16946,6,6.8,32612,10,19.1,15934,5,18.5,24116,8,5.4,29335,9,-0.1,18019,6,0.2,19448,6,24.1,25520,8,-1.9,24565,8,0.2,12226,4,-0.3,21339,7,1667,346,362,1060,606960.639777975,5725.73018375794
20,E01014507,Bristol 016A,Seymour Road,6.22,29507,9,87.42,238,9,5.2,31921,10,2.7,33426,10,1.1,32743,10,-0.9,28288,9,-1,29711,9,12,28074,9,44.4,3562,2,5.6,32687,10,11.8,19932,6,-1.2,30787,10,0,33671,10,19,29243,9,0.5,13490,4,0.9,3023,1,0.3,11098,4,1907,370,199,1405,136390.426810675,2917.21078022831
21,E01014508,Bristol 016B,Cricket Ground,8.71,26572,8,78.72,209,8,5.3,31808,10,4,32282,10,1.2,32595,10,-0.6,25642,8,0.9,5315,2,10.7,29494,9,33.8,7469,3,3.8,33320,10,7.7,25258,8,-1.2,31199,10,0.1,32762,10,19.2,29129,9,0.1,15190,5,0.6,5781,2,0.1,13236,4,1657,266,223,1247,183153.599587935,3753.89041819947
22,E01014509,Bristol 016C,Ashley Down,5.76,30029,9,88.96,246,10,7.4,29481,9,4.1,32030,10,4.8,28436,9,-0.8,27073,9,-0.6,25864,8,15.2,23836,8,26.5,11214,4,12.1,28969,9,9.6,22557,7,-0.4,22144,7,0.1,33545,10,21.7,27441,9,1.3,10707,4,0.2,12824,4,0.7,6207,2,2586,422,197,2011,295084.171765415,4018.66347337753
23,E01014510,Bristol 010A,Memorial Stadium,7.38,28206,9,83.56,223,9,7.2,29814,9,5.3,29924,9,1.3,32515,10,-0.4,21798,7,-0.2,19778,6,10.2,30002,9,35.2,6840,3,7.6,31764,10,11.2,20607,7,-1.1,30637,10,0.1,33157,10,20.6,28229,9,-0.1,16410,5,0.6,6586,2,0.5,7953,3,2189,415,238,1589,237936.2554945,3361.50802683658
